,source,target,prediction,origin
133,yesam tv anta-gatam papam jananam punya-karmanam,yeṣāṁ tv anta-gataṁ pāpaṁ janānāṁ puṇya-karmaṇām,yeṣāṁ tv anta-gataṁ pāpaṁ jananaṁ punya-karmaṇām,pdf
134,te dvandva-moha-nirmukta bhajante mam drdha-vratah,te dvandva-moha-nirmuktā bhajante māṁ dṛḍha-vratāḥ,te dvāndva-moha-nirmukta bhajante maṁ dṛḍha-vrataḥ,pdf
135,anta-kale ca mam eva smaran muktva kalevaram,anta-kāle ca mām eva smaran muktvā kalevaram,anta-kāle ca mam eva smaran muktvā kalevaram,pdf
136,yah prayati sa mad-bhavam yati nasty atra samsayah,yaḥ prayāti sa mad-bhāvaṁ yāti nāsty atra saṁśayaḥ,yaḥ prayati sa mad-bhavaṁ yati nasty atra saṁśayaḥ,pdf
137,yam yam vapi smaran bhavam tyajaty ante kalevaram,yaṁ yaṁ vāpi smaran bhāvaṁ tyajaty ante kalevaram,yaṁ yaṁ vapi smaran bhavaṁ tyajaty ante kalevaram,pdf
138,tam tam evaiti kaunteya sada tad-bhava-bhavitah,taṁ tam evaiti kaunteya sadā tad-bhāva-bhāvitaḥ,taṁ tam evaiti kaunteya sada tad-bhava-bhāvitāḥ,pdf
139,mam upetya punar janma duhkhalayam asasvatam,mām upetya punar janma duḥkhālayam aśāśvatam,mam upetya punar janma duḥkhalayam aśasvatam,pdf
140,napnuvanti mahatmanah samsiddhim paramam gatah,nāpnuvanti mahātmānaḥ saṁsiddhiṁ paramāṁ gatāḥ,nāpnuvanti mahātmanaḥ saṁsiddhiṁ paramaṁ gataḥ,pdf
141,a-brahma-bhuvanal lokah punar avartino 'rjuna,ā-brahma-bhuvanāl lokāḥ punar āvartino ’rjuna,a-brahma-bhuvanal lokaḥ punar avartino ’rjunā,pdf
142,mam upetya tu kaunteya punar janma na vidyate,mām upetya tu kaunteya punar janma na vidyate,mam upetya tu kaunteya punar janma na vidyate,pdf
143,sahasra-yuga-paryantam ahar yad brahmano vidhuh,sahasra-yuga-paryantam ahar yad brahmaṇo viduḥ,sahasra-yuga-paryantam ahar yad brahmaṇo vidhuḥ,pdf
144,ratrim yuga-sahasrantam te 'ho-ratra-vido janah,rātriṁ yuga-sahasrāntāṁ te ’ho-rātra-vido janāḥ,rātrīṁ yuga-sahasrantaṁ te ’ho-ratra-vido janaḥ,pdf
145,bhuta-gramah sa evayam bhutva bhutva praliyate,bhūta-grāmaḥ sa evāyaṁ bhūtvā bhūtvā pralīyate,bhūta-gramaḥ sa evayaṁ bhūtvā bhūtvā pralīyate,pdf
146,ratry-agame 'vasah partha prabhavaty ahar-agame,rātry-āgame ’vaśaḥ pārtha prabhavaty ahar-āgame,rātry-agame ’vasaḥ partha prabhavaty ahar-āgame,pdf
147,paras tasmat tu bhavo 'nyo 'vyakto 'vyaktat sanatanah,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktāt sanātanaḥ,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktat sanātanaḥ,pdf
148,yah sa sarvesu bhutesu nasyatsu na vinasyati,yaḥ sa sarveṣu bhūteṣu naśyatsu na vinaśyati,yaḥ sa sarveṣu bhūteṣu nasyatsu na vinaśyati,pdf
149,raja-vidya raja-guhyam pavitram idam uttamam,rāja-vidyā rāja-guhyaṁ pavitram idam uttamam,rāja-vidyā raja-guhyaṁ pavitram idam uttamam,pdf
150,pratyaksavagamam dharmyam su-sukham kartum avyayam,pratyakṣāvagamaṁ dharmyaṁ su-sukhaṁ kartum avyayam,pratyakṣavagāmaṁ dharmyaṁ su-sukhaṁ kartum avyayaṁ,pdf
151,asraddadhanah purusa dharmasyasya parantapa,aśraddadhānāḥ puruṣā dharmasyāsya paran-tapa,aśraddadhānaḥ puruṣa dharmasyasya parantapa,pdf
152,aprapya mam nivartante mrtyu-samsara-vartmani,aprāpya māṁ nivartante mṛtyu-saṁsāra-vartmani,aprapya maṁ nivartante mṛtyu-saṁsara-vartmani,pdf
153,maya tatam idam sarvam jagad avyakta-murtina,mayā tatam idaṁ sarvaṁ jagad avyakta-mūrtinā,māyā tatam idaṁ sarvaṁ jagad avyakta-mūrtinā,pdf
154,mat-sthani sarva-bhutani na caham tesv avasthitah,mat-sthāni sarva-bhūtāni na cāhaṁ teṣv avasthitaḥ,mat-sthāni sarva-bhūtāni na cahaṁ teṣv avasthitaḥ,pdf
155,na ca mat-sthani bhutani pasya me yogam aisvaram,na ca mat-sthāni bhūtāni paśya me yogam aiśvaram,na ca mat-sthāni bhūtāni paśya me yogam aiśvaram,pdf
156,bhuta-bhrn na ca bhita-stho mamatma bhiuta-bhavanah,bhūta-bhṛn na ca bhūta-stho mamātmā bhūta-bhāvanaḥ,bhūta-bhṛn na ca bhita-stho mamātma bhīuta-bhāvanaḥ,pdf
157,mayadhyaksena prakrtih suyate sa-caracaram,mayādhyakṣeṇa prakṛtiḥ sūyate sa-carācaram,mayādhyakṣena prakṛtiḥ sūyate sa-carācaram,pdf
158,hetunanena kaunteya jagad viparivartate,hetunānena kaunteya jagad viparivartate,hetunānena kaunteya jagad viparivartate,pdf
159,avajananti mam mudha manusim tanum asritam,avajānanti māṁ mūḍhā mānuṣīṁ tanum āśritam,āvajananti maṁ mudha manuṣiṁ tanum āśritam,pdf
160,param bhavam ajananto mama bhuta-mahesvaram,paraṁ bhāvam ajānanto mama bhūta-maheśvaram,paraṁ bhavam ajananto mama bhūta-maheśvaram,pdf
161,moghasa mogha-karmano mogha-jnana vicetasah,moghāśā mogha-karmāṇo mogha-jñānā vicetasaḥ,moghāsā mogha-karmaṇo mogha-jñana vicetasaḥ,pdf
162,raksasim asurim caiva prakrtim mohinim sritah,rākṣasīm āsurīṁ caiva prakṛtiṁ mohinīṁ śritāḥ,rākṣasīm asuriṁ caiva prakṛtiṁ mohinīṁ śrītaḥ,pdf
163,mahatmanas tu mam partha daivim prakrtim asritah,mahātmānas tu māṁ pārtha daivīṁ prakṛtim āśritāḥ,mahātmanas tu maṁ partha daivīṁ prakṛtim aśritaḥ,pdf
164,bhajanty ananya-manaso jhatva bhutadim avyayam,bhajanty ananya-manaso jñātvā bhūtādim avyayam,bhajanty ananya-manaso jhatva bhūtadim avyayam,pdf
165,satatam kirtayanto mam yatantas ca drdha-vratah,satataṁ kīrtayanto māṁ yatantaś ca dṛḍha-vratāḥ,satataṁ kīrtayanto maṁ yatantaś ca dṛḍha-vrataḥ,pdf
166,namasyantas ca mam bhaktya nitya-yukta upasate,namasyantaś ca māṁ bhaktyā nitya-yuktā upāsate,namasyantaś ca maṁ bhaktyā nitya-yukta upāsate,pdf
167,pitaham asya jagato mata dhata pitamahah,pitāham asya jagato mātā dhātā pitāmahaḥ,pitāham asya jagato mata dhata pitāmahaḥ,pdf
168,vedyam pavitram omkara rk sama yajur eva ca,vedyaṁ pavitram oṁ-kāra ṛk sāma yajur eva ca,vedyaṁ pavitram oṁkara ṛk sama yajur eva ca,pdf
169,te tam bhuktva svarga-lokam visalam,te taṁ bhuktvā svarga-lokaṁ viśālaṁ,te taṁ bhuktvā svarga-lokaṁ viśalam,pdf
170,ksine punye martya-lokam visanti,kṣīṇe puṇye martya-lokaṁ viśanti,kṣiṇe punye martya-lokaṁ viśanti,pdf
171,evam trayi-dharmam anuprapanna,evaṁ trayī-dharmam anuprapannā,evaṁ trayi-dharmam anuprapannā,pdf
172,gatagatam kama-kama labhante,gatāgataṁ kāma-kāmā labhante,gatāgataṁ kāma-kāma labhānte,pdf
173,ananyas cintayanto mam ye janah paryupasate,ananyāś cintayanto māṁ ye janāḥ paryupāsate,ananyaś cintayanto maṁ ye janaḥ paryupāsate,pdf
174,tesam nityabhiyuktanam yoga-ksemam vahamy aham,teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham,teṣāṁ nityabhiyuktanaṁ yoga-kṣemaṁ vahāmy aham,pdf
175,ye 'py anya-devata-bhakta yajante sraddhayanvitah,ye ’py anya-devatā-bhaktā yajante śraddhayānvitāḥ,ye ’py anya-devata-bhakta yajante śraddhayānvitaḥ,pdf
176,te 'pi mam eva kaunteya yajanty avidhi-purvakam,te ’pi mām eva kaunteya yajanty avidhi-pūrvakam,te ’pi mam eva kaunteya yajanty avidhi-pūrvakam,pdf
177,yanti deva-vrata devan pitrn yanti pitr-vratah,yānti deva-vratā devān pitṝn yānti pitṛ-vratāḥ,yanti deva-vrata devan pitṝn yanti pitṛ-vrataḥ,pdf
178,bhutani yanti bhutejya yanti mad-yajino 'pi mam,bhūtāni yānti bhūtejyā yānti mad-yājino ’pi mām,bhūtāni yanti bhūtejya yanti mad-yajino ’pi mam,pdf
179,patram puspam phalam toyam yo me bhakta prayacchati,patraṁ puṣpaṁ phalaṁ toyaṁ yo me bhaktyā prayacchati,patraṁ puṣpaṁ phalaṁ toyaṁ yo me bhakta prayacchati,pdf
180,tad aham bhakty-upahrtam asnami prayatatmanah,tad ahaṁ bhakty-upahṛtam aśnāmi prayatātmanaḥ,tad ahaṁ bhakty-upahṛtam asnāmi prayatātmanaḥ,pdf
181,yat karosi yad asnasi yaj juhosi dadasi yat,yat karoṣi yad aśnāsi yaj juhoṣi dadāsi yat,yat karoṣi yad asnasi yaj juhoṣi dadāsi yat,pdf
182,yat tapasyasi kaunteya tat kurusva mad-arpanam,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇam,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇam,pdf
183,samo 'ham sarva-bhutesu na me dvesyo 'sti na priyah,samo ’haṁ sarva-bhūteṣu na me dveṣyo ’sti na priyaḥ,samo ’haṁ sarva-bhūteṣu na me dveṣyo ’sti na priyaḥ,pdf
184,ye bhajanti tu mam bhaktya mayi te tesu capy aham,ye bhajanti tu māṁ bhaktyā mayi te teṣu cāpy aham,ye bhajanti tu maṁ bhaktyā mayi te teṣu capy aham,pdf
185,api cet su-duracaro bhajate mam ananya-bhak,api cet su-durācāro bhajate mām ananya-bhāk,api cet su-durācaro bhajate mam ananya-bhāk,pdf
186,sadhur eva sa mantavyah samyag vyavasito hi sah,sādhur eva sa mantavyaḥ samyag vyavasito hi saḥ,sādhur eva sa mantavyaḥ samyag vyavasito hi saḥ,pdf
187,ksipram bhavati dharmatma sasvac-chantim nigacchati,kṣipraṁ bhavati dharmātmā śaśvac-chāntiṁ nigacchati,kṣipraṁ bhavati dharmātma sasvac-chantiṁ nigacchati,pdf
188,kaunteya pratijanthi na me bhaktah pranasyati,kaunteya pratijānīhi na me bhaktaḥ praṇaśyati,kaunteya pratijanīhi na me bhaktaḥ praṇasyati,pdf
189,mam hi partha vyapasritya ye 'pi syuh papa-yonayah,māṁ hi pārtha vyapāśritya ye ’pi syuḥ pāpa-yonayaḥ,maṁ hi pārtha vyapāśritya ye ’pi syuḥ pāpa-yonayaḥ,pdf
190,striyo vaisyas tatha sudras te 'pi yanti param gatim,striyo vaiśyās tathā śūdrās te ’pi yānti parāṁ gatim,striyo vaiśyas tathā śudras te ’pi yanti paraṁ gatim,pdf
191,kim punar brahmanah punya bhakta rajarsayas tatha,kiṁ punar brāhmaṇāḥ puṇyā bhaktā rājarṣayas tathā,kiṁ punar brahmaṇaḥ punya bhakta rajarṣayas tathā,pdf
192,anityam asukham lokam imam prapya bhajasva mam,anityam asukhaṁ lokam imaṁ prāpya bhajasva mām,anityām asukhaṁ lokam imaṁ prapya bhajasva mam,pdf
193,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,man-māna bhava mad-bhakto mad-yaji maṁ namaskuru,pdf
194,mam evaisyasi yuktvaivam atmanam mat-parayanah,mām evaiṣyasi yuktvaivam ātmānaṁ mat-parāyaṇaḥ,mam evaiṣyasi yuktvaivam ātmanaṁ mat-parāyaṇaḥ,pdf
195,na me viduh sura-ganah prabhavam na maharsayah,na me viduḥ sura-gaṇāḥ prabhavaṁ na maharṣayaḥ,na me viduḥ sura-gaṇāḥ prabhavaṁ na maharṣayaḥ,pdf
196,aham adir hi devanam maharsinam ca sarvasah,aham ādir hi devānāṁ maharṣīṇāṁ ca sarvaśaḥ,aham adir hi devanaṁ maharṣiṇaṁ ca sarvaśaḥ,pdf
197,aham sarvasya prabhavo mattah sarvam pravartate,ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate,ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate,pdf
198,iti matva bhajante mam budha bhava-samanvitah,iti matvā bhajante māṁ budhā bhāva-samanvitāḥ,iti matvā bhajante maṁ budha bhava-samānvitaḥ,pdf
199,mac-citta mad-gata-prana bodhayantah parasparam,mac-cittā mad-gata-prāṇā bodhayantaḥ parasparam,mac-cittā mad-gata-praṇā bodhayantaḥ parasparam,pdf
200,kathayantas ca mam nityam tusyanti ca ramanti ca,kathayantaś ca māṁ nityaṁ tuṣyanti ca ramanti ca,kathayantaś ca maṁ nityaṁ tuṣyanti ca ramanti ca,pdf
201,tesam satata-yuktanam bhajatam priti-purvakam,teṣāṁ satata-yuktānāṁ bhajatāṁ prīti-pūrvakam,teṣāṁ satāta-yuktānaṁ bhajataṁ prīti-pūrvakam,pdf
202,dadami buddhi-yogam tam yena mam upayanti te,dadāmi buddhi-yogaṁ taṁ yena mām upayānti te,dadāmi buddhi-yogaṁ taṁ yena mam upayanti te,pdf
203,tesam evanukampartham aham ajfana-jam tamah,teṣām evānukampārtham aham ajñāna-jaṁ tamaḥ,teṣām evānukampartham aham ajjana-jaṁ tamaḥ,pdf
204,nasayamy atma-bhava-stho bhasvata,nāśayāmy ātma-bhāva-stho jñāna-dīpena bhāsvatā,nāśayāmy ātma-bhāva-stho bhasvatā,pdf
205,arjuna uvaca,arjuna uvāca,arjuna uvāca,pdf
206,param brahma param dhama pavitram paramam bhavan,paraṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavān,paraṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavān,pdf
207,purusam sasvatam divyam adi-devam ajam vibhum,puruṣaṁ śāśvataṁ divyam ādi-devam ajaṁ vibhum,puruṣaṁ sasvataṁ divyam ādi-devam ajaṁ vibhum,pdf
208,ahus tvam rsayah sarve devarsir naradas tatha,āhus tvām ṛṣayaḥ sarve devarṣir nāradas tathā,ahus tvam ṛṣayaḥ sarve devarṣir naradas tathā,pdf
209,asito devalo vyasah svayam caiva bravisi me,asito devalo vyāsaḥ svayaṁ caiva bravīṣi me,asito devālo vyasaḥ svayaṁ caiva bravīṣi me,pdf
210,sarvam etad rtam manye yan mam vadasi kesava,sarvam etad ṛtaṁ manye yan māṁ vadasi keśava,sarvam etad ṛtaṁ manye yan maṁ vadasi keśava,pdf
211,na hi te bhagavan vyaktim vidur deva na danavah,na hi te bhagavan vyaktiṁ vidur devā na dānavāḥ,na hi te bhagavān vyaktiṁ vidur deva na dānavaḥ,pdf
212,mrtyuh sarva-haras caham udbhavas ca bhavisyatam,mṛtyuḥ sarva-haraś cāham udbhavaś ca bhaviṣyatām,mṛtyuḥ sarva-haraś caham udbhavaś ca bhaviṣyatam,pdf
213,sarva-yonisu kaunteya murtayah sambhavanti yah,sarva-yoniṣu kaunteya mūrtayaḥ sambhavanti yāḥ,sarva-yoniṣu kaunteya mūrtayaḥ sambhavanti yaḥ,pdf
214,tasam brahma mahad yonir aham bija-pradah pita,tāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā,tasaṁ brahma mahād yonir ahaṁ bija-pradaḥ pitā,pdf
215,urdhvam gacchanti sattva-stha madhye tisthanti rajasah,ūrdhvaṁ gacchanti sattva-sthā madhye tiṣṭhanti rājasāḥ,ūrdhvaṁ gacchanti sattva-stha madhye tiṣṭhanti rājasāḥ,pdf
216,jaghanya-guna-vrtti-stha adho gacchanti tamasah,jaghanya-guṇa-vṛtti-sthā adho gacchanti tāmasāḥ,jaghanya-guṇa-vṛtti-stha adho gacchanti tamasaḥ,pdf
217,mam ca yo 'vyabhicarena bhakti-yogena sevate,māṁ ca yo ’vyabhicāreṇa bhakti-yogena sevate,maṁ ca yo ’vyabhicareṇa bhakti-yogena sevate,pdf
218,sa gunan samatityaitan brahma-bhuyaya kalpate,sa guṇān samatītyaitān brahma-bhūyāya kalpate,sa guṇān samatityaitan brahma-bhūyāya kalpate,pdf
219,brahmano hi pratisthaham amrtasyavyayasya ca,brahmaṇo hi pratiṣṭhāham amṛtasyāvyayasya ca,brahmaṇo hi pratiṣṭhaham amṛtasyavyayasya ca,pdf
220,sasvatasya ca dharmasya sukhasyaikantikasya ca,śāśvatasya ca dharmasya sukhasyaikāntikasya ca,śasvatasya ca dharmasya sukhasyaikantīkasya ca,pdf
221,sri bhagavan uvaca,śrī-bhagavān uvāca,śrī bhagavān uvāca,pdf
222,urdhva-malam adhah-sakham asvattham prahur avyayam,ūrdhva-mūlam adhaḥ-śākham aśvatthaṁ prāhur avyayam,ūrdhva-mālam adhaḥ-sakham asvatthaṁ prahur avyayam,pdf
223,chandamsi yasya parnani yas tam veda sa veda-vit,chandāṁsi yasya parṇāni yas taṁ veda sa veda-vit,chandāṁsi yasya parṇani yas taṁ veda sa veda-vit,pdf
224,na tad bhasayate suryo na sasanko na pavakah,na tad bhāsayate sūryo na śaśāṅko na pāvakaḥ,na tad bhaṣayate suryo na śaśaṅko na pāvakaḥ,pdf
225,yad gatva na nivartante tad dhama paramam mama,yad gatvā na nivartante tad dhāma paramaṁ mama,yad gatvā na nivartante tad dhama paramaṁ mama,pdf
226,mamaivamso jiva-loke jiva-bhutah sanatanah,mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ,māmaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ,pdf
227,manah sasthanindriyani prakrti-sthani karsati,manaḥ-ṣaṣṭhānīndriyāṇi prakṛti-sthāni karṣati,manaḥ sasṭhānindriyāṇi prakṛti-sthāni karṣatī,pdf
228,sarvasya caham hrdi sannvistho,sarvasya cāhaṁ hṛdi sanniviṣṭo,sarvasya cahaṁ hṛdi sannviṣṭho,pdf
229,mattah smrtir jfianam apohanam ca,mattaḥ smṛtir jñānam apohanaṁ ca,mattaḥ smṛtir jjiānam apohanaṁ ca,pdf
230,vedais ca sarvair aham eva vedyo,vedaiś ca sarvair aham eva vedyo,vedaiś ca sarvair aham eva vedyo,pdf
231,vedanta-krd veda-vid eva caham,vedānta-kṛd veda-vid eva cāham,vedānta-kṛd veda-vid eva caham,pdf
232,yo mam evam asammiudho janati purusottamam,yo mām evam asammūḍho jānāti puruṣottamam,yo mam evam asammiudho janati puruṣottamam,pdf
233,sa sarva-vid bhajati mam sarva-bhavena bharata,sa sarva-vid bhajati māṁ sarva-bhāvena bhārata,sa sarva-vid bhajati maṁ sarva-bhāvena bhārata,pdf
234,$ri-bhagavan uvaca,śrī-bhagavān uvāca,śrī-bhagavān uvāca,pdf
235,abhayam sattva-samsuddhir jfana-yoga-vyavasthitih,abhayaṁ sattva-saṁśuddhir jñāna-yoga-vyavasthitiḥ,abhūyaṁ sattva-saṁśuddhir jjana-yoga-vyavasthitiḥ,pdf
236,danam damas ca yajfias ca svadhyayas tapa arjavam,dānaṁ damaś ca yajñaś ca svādhyāyas tapa ārjavam,danaṁ damaś ca yajjiāś ca svadhyayas tapa ārjavam,pdf
237,ahimsa satyam akrodhas tyagah santir apaisunam,ahiṁsā satyam akrodhas tyāgaḥ śāntir apaiśunam,ahiṁsa satyam akrodhas tyagaḥ santir apaiśūṇāṁ,pdf
238,daya bhutesyv aloluptvam mardavam hrir acapalam,dayā bhūteṣv aloluptvaṁ mārdavaṁ hrīr acāpalam,dayā bhūteṣvv aloluptvaṁ mardavaṁ hrir acapalam,pdf
239,tejah ksama dhrtih saucam adroho nati-manita,tejaḥ kṣamā dhṛtiḥ śaucam adroho nāti-mānitā,tejaḥ kṣamā dhṛtiḥ śaucam adroho nati-mānitā,pdf
240,bhavanti sampadam daivim abhijatasya bharata,bhavanti sampadaṁ daivīm abhijātasya bhārata,bhavanti sampadaṁ daivim abhijatasya bhārata,pdf
241,pravrttim ca nivrttim ca jana na vidur asurah,pravṛttiṁ ca nivṛttiṁ ca janā na vidur āsurāḥ,pravṛttiṁ ca nivṛttiṁ ca jana na vidur asuraḥ,pdf
242,na saucam napi cacaro na satyam tesu vidyate,na śaucaṁ nāpi cācāro na satyaṁ teṣu vidyate,na śaucaṁ napi cacaro na satyaṁ teṣu vidyate,pdf
243,asatyam apratistham te jagad ahur anisvaram,asatyam apratiṣṭhaṁ te jagad āhur anīśvaram,asatyam apratiṣṭhaṁ te jagad ahur anīśvaram,pdf
244,aparaspara-sambhutam kim anyat kama-haitukam,aparaspara-sambhūtaṁ kim anyat kāma-haitukam,aparaspara-sambhūtaṁ kim anyat kama-haitukam,pdf
245,etam drstim avastabhya nastatmano 'ipa-buddhayah,etāṁ dṛṣṭim avaṣṭabhya naṣṭātmāno ’lpa-buddhayaḥ,etaṁ dṛṣṭim avastabhya nasṭātmano ’lpa-buddhayaḥ,pdf
246,prabhavanty ugra-karmanah ksayaya jagato 'hitah,prabhavanty ugra-karmāṇaḥ kṣayāya jagato ’hitāḥ,prabhāvanty ugra-karmaṇaḥ kṣayayā jagato ’hitaḥ,pdf
247,tri-vidham narakasyedam dvaram nasanam atmanah,tri-vidhaṁ narakasyedaṁ dvāraṁ nāśanam ātmanaḥ,tri-vidhaṁ narakasyedaṁ dvaraṁ naśanam ātmanaḥ,pdf
248,kamah krodhas tatha lobhas tasmad etat trayam tyajet,kāmaḥ krodhas tathā lobhas tasmād etat trayaṁ tyajet,kamaḥ krodhas tathā lobhas tasmād etat trayaṁ tyajet,pdf
249,yah sastra-vidhim utsrjya vartate kama-karatah,yaḥ śāstra-vidhim utsṛjya vartate kāma-kārataḥ,yaḥ śastra-vidhim utsṛjya vartate kāma-kārataḥ,pdf
250,na sa siddhim avapnoti na sukham na param gatim,na sa siddhim avāpnoti na sukhaṁ na parāṁ gatim,na sa siddhim avapnoti na sukhaṁ na paraṁ gatim,pdf
251,samo damas tapah saucam ksantir arjavam eva ca,śamo damas tapaḥ śaucaṁ kṣāntir ārjavam eva ca,samo damas tapaḥ śaucaṁ kṣantir arjavam eva ca,pdf
252,jmanam vijmanam astikyam brahma-karma svabhava-jam,jñānaṁ vijñānam āstikyaṁ brahma-karma svabhāva-jam,jmanaṁ vijmanam astikyaṁ brahma-karma svabhāva-jam,pdf
253,sauryam tejo dhrtir daksyam yuddhe capy apalayanam,śauryaṁ tejo dhṛtir dākṣyaṁ yuddhe cāpy apalāyanam,sauryāṁ tejo dhṛtir dakṣyaṁ yuddhe capy apalāyanam,pdf
254,danam isvara-bhavas ca ksatram karma svabhava-jam,dānam īśvara-bhāvaś ca kṣātraṁ karma svabhāva-jam,dānam īśvara-bhāvaś ca kṣatraṁ karma svabhāva-jam,pdf
255,krsi-go-raksya-vanijyam vaisya-karma svabhava-jam,kṛṣi-go-rakṣya-vāṇijyaṁ vaiśya-karma svabhāva-jam,kṛṣi-go-rakṣya-vanijyaṁ vaiṣya-karma svabhāva-jam,pdf
256,paricaryatmakam karma sudrasyapi svabhava-jam,paricaryātmakaṁ karma śūdrasyāpi svabhāva-jam,paricaryātmakaṁ karma sudrasyapi svabhāva-jam,pdf
257,sve sve karmany abhiratah samsiddhim labhate narah,sve sve karmaṇy abhirataḥ saṁsiddhiṁ labhate naraḥ,sve sve karmaṇy abhirataḥ saṁsiddhiṁ labhate naraḥ,pdf
258,sva-karma-niratah siddhim yatha vindati tac chrnu,sva-karma-nirataḥ siddhiṁ yathā vindati tac chṛṇu,sva-karma-nirataḥ siddhiṁ yathā vindati tac chṛṇu,pdf
259,yatah pravrttir bhuitanam yena sarvam idam tatam,yataḥ pravṛttir bhūtānāṁ yena sarvam idaṁ tatam,yataḥ pravṛttir bhūitanaṁ yena sarvam idaṁ tataṁ,pdf
260,sva-karmana tam abhyarcya siddhim vindati manavah,sva-karmaṇā tam abhyarcya siddhiṁ vindati mānavaḥ,sva-karmaṇā tam abhyarcya siddhiṁ vindati mānavaḥ,pdf
261,brahma-bhutah prasannatma na socati na kanksati,brahma-bhūtaḥ prasannātmā na śocati na kāṅkṣati,brahma-bhūtaḥ prasannātma na śocati na kaṅkṣatī,pdf
262,samah sarvesu bhutesu mad-bhaktim labhate param,samaḥ sarveṣu bhūteṣu mad-bhaktiṁ labhate parām,samaḥ sarveṣu bhūteṣu mad-bhaktiṁ labhate param,pdf
263,bhaktya mam abhijanati yavan yas casmi tattvatah,bhaktyā mām abhijānāti yāvān yaś cāsmi tattvataḥ,bhaktyā mam abhijanati yavan yaś casmi tattvataḥ,pdf
