,source,target,prediction,origin
264,tato mam tattvato jmatva visate tad-anantaram,tato māṁ tattvato jñātvā viśate tad-anantaram,tato maṁ tattvato jmatva viṣate tad-anantaram,pdf
265,isvarah sarva-bhutanam hrd-dese 'rjuna tisthati,īśvaraḥ sarva-bhūtānāṁ hṛd-deśe ’rjuna tiṣṭhati,īśvaraḥ sarva-bhūtānaṁ hṛd-deśe ’rjuna tiṣṭhati,pdf
266,bhramayan sarva-bhutani yantrarudhani mayaya,bhrāmayan sarva-bhūtāni yantrārūḍhāni māyayā,bhrāmayan sarva-bhūtāni yantrarūdhāni māyāyā,pdf
267,iti te jiaanam akhyatam guhyad guhyataram maya,iti te jñānam ākhyātaṁ guhyād guhya-taraṁ mayā,iti te jiaānam akhyataṁ guhyad guhyataraṁ mayā,pdf
268,vimrsyaitad asesena yathecchasi tatha kuru,vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru,vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru,pdf
269,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,man-māna bhava mad-bhakto mad-yaji maṁ namaskuru,pdf
270,mam evaisyasi satyam te pratijane priyo 'si me,mām evaiṣyasi satyaṁ te pratijāne priyo ’si me,mam evaiṣyasi satyaṁ te pratijane priyo ’si me,pdf
271,sarva-dharman parityajya mam ekam saranam vraja,sarva-dharmān parityajya mām ekaṁ śaraṇaṁ vraja,sarva-dharman parityajya mam ekaṁ śaraṇaṁ vraja,pdf
272,aham tvam sarva-papebhyo moksayisyami ma sucah,ahaṁ tvāṁ sarva-pāpebhyo mokṣayiṣyāmi mā śucaḥ,ahaṁ tvaṁ sarva-papebhyo mokṣayiṣyami mā śucaḥ,pdf
273,ya idam paramam guhyam mad-bhaktesv abhidhasyati,ya idaṁ paramaṁ guhyaṁ mad-bhakteṣv abhidhāsyati,ya idaṁ paramaṁ guhyaṁ mad-bhakteṣv abhidhasyati,pdf
274,bhaktim mayi param krtva mam evaisyaty asamsayah,bhaktiṁ mayi parāṁ kṛtvā mām evaiṣyaty asaṁśayaḥ,bhaktiṁ mayi paraṁ kṛtvā mam evaiṣyaty asaṁśayaḥ,pdf
275,na ca tasman manusyesu kascin me priya-krttamah,na ca tasmān manuṣyeṣu kaścin me priya-kṛttamaḥ,na ca tasmān manuṣyeṣu kaścin me priya-kṛttamaḥ,pdf
276,bhavita na ca me tasmad anyah priyataro bhuvi,bhavitā na ca me tasmād anyaḥ priya-taro bhuvi,bhavitā na ca me tasmād anyaḥ priyataro bhuvi,pdf
277,arjuna uvaca,arjuna uvāca,arjuna uvāca,pdf
278,nasto mohah smrtir labdha tvat-prasadan mayacyuta,naṣṭo mohaḥ smṛtir labdhā tvat-prasādān mayācyuta,naṣṭo mohaḥ smṛtir labdha tvat-prasadān mayācyuta,pdf
279,sthito 'smi gata-sandehah karisye vacanam tava,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava,pdf
280,yatra yogesvarah krsno yatra partho dhanur-dharah,yatra yogeśvaraḥ kṛṣṇo yatra pārtho dhanur-dharaḥ,yatra yogeśvaraḥ kṛṣṇo yatra partho dhanur-dharaḥ,pdf
281,tatra ssrir vijayo bhutir dhruva nitir matir mama,tatra śrīr vijayo bhūtir dhruvā nītir matir mama,tatra śśrīr vijayo bhūtir dhruva nitir matir mama,pdf
282,vifvam vierurvasatkiro,viśvaṁ viṣṇurvaṣaṭkārō ,vijvaṁ vierurvaśatkīro,website
283,bhotabhavyathavatprabiuh,bhūtabhavyabhavatprabhuḥ,bhotābhavyathāvatprabiuḥ,website
284,bhatalerd bharabhrdbhavo,bhūtakṛdbhūtabhṛdbhāvō ,bhūṭālerd bharabhṛdbhavo,website
285,bhoriema bhorabhavanch,bhūtātmā bhūtabhāvanaḥ ,bhoriemā bhorabhavancḥ,website
286,yaych purussh siket ksetrajfiothsara eva ca,avyayaḥ puruṣaḥ sākṣī kṣetrajñōkṣara eva ca,yaycḥ puruṣṣḥ siket kṣetrajjjotḥsara eva ca,website
287,yego yogavidam neta oradhanspurusefvarch,yōgō yōgavidāṁ netā pradhānapuruṣeśvaraḥ,yego yogāvidaṁ neta oradhānspuruṣejvarcḥ,website
288,carvah éarvaly divah sthanur bhotadirnidhirevyaysh,sarvaḥ śarvaḥ śivaḥ sthāṇurbhūtādirnidhiravyayaḥ,carvaḥ śarvāly divaḥ sthanur bhotadirṇidhirevyaysḥ,website
289,cambhavo bhavano thaa prabhuriévarch,saṁbhavō bhāvanō bhartā prabhavaḥ prabhurīśvaraḥ,cambhavo bhavano thaa prabhuriśvarcḥ,website
290,cvayambhoh puskarakso mahsvansh,svayaṁbhūḥ śaṁbhurādityaḥ puṣkarākṣō mahāsvanaḥ,cvayambhoḥ puṣkarakṣo maḥsvansḥ,website
291,madinidhano dhata vidhara dhatururtamsh,anādinidhanō dhātā vidhātā dhāturuttamaḥ,mādinīdhāno dhata vidhāra dhāturūrtaṁsḥ,website
292,iprameyo hrsikelsh padmansbho'mareprablich,aprameyō hṛṣīkeśaḥ padmanābhōmaraprabhuḥ,iprameyo hṛṣīkelṣḥ padmansbho’mareprablicḥ,website
293,vifvakarma manustvasta thavisthah sthaviro dhruvah,viśvakarmā manusvtaṣṭā sthaviṣṭhassthavirō dhruvaḥ,vijvakarma manuṣtvasṭa thaviṣṭhaḥ sthaviro dhruvaḥ,website
294,erhysh sifvato krsno ichitalssh praterdanch,agrāhyaḥ śāśvataḥ kṛṣṇō lōhitākṣaḥ pratardanaḥ,erhysḥ sijvato kṛṣṇo ichitālṣṣḥ prateṛdancḥ,website
295,orabhotastrikekubdhams oavitrem mafealam param,prabhūtastrikakubdhāma pavitraṁ maṁgalaṁ param,orabhotāstrīkekubdhāṁs oavitreṁ majealaṁ param,website
296,iandh prnadah prano fyesthah sresthsh prajipatih,īśānaḥ prāṇadaḥ prāṇō jyeṣṭhaḥ śreṣṭhaḥ prajāpatiḥ,jandḥ pṛṇādaḥ praṇo īyeṣṭhaḥ śreṣṭḥsḥ prajīpatiḥ,website
297,hniranysgarbho bhogertho madhavo madhustdansh,hiraṇyagarbhō bhūgarbhō mādhavō madhusūdanaḥ,hnirānysgarbho bhogertho madhavo madhuṣīdaṅsḥ,website
298,vikramee dhanvee medhavee vikramsh kramh,īśvarō vikramī dhanvī medhāvī vikramaḥ kramaḥ,vikramee dhanvee medhavee vikramsḥ kraṁḥ,website
299,imuttamo duradharssh letiraemavan,anuttamō durādharṣaḥ kṛtajñaḥ kṛtirātmavān,imuttamo duradhārṣṣḥ letiraemavan,website
300,dish samvatsaro vyalsh oratyayah sarvadardansh,ahaḥ saṁvatsarō vyālaḥ pratyayassarvadarśanaḥ,diśḥ saṁvatsaro vyalṣh oratyayaḥ sarvadārdansḥ,website
301,visikapirameystma carvayceavinihsrtsh,vṛṣākapirameyātmā sarvayōgaviniḥsṛtaḥ,viṣikapirameystma carvayceaviniḥsṛtsḥ,website
302,vesurvasumanth satych camatma'sammitah sameh,vasurvasumanāḥ satyaḥ samātmā sammitaḥ samaḥ,veṣurvāsumanīḥ satycḥ camātma’sammitaḥ sameḥ,website
303,amoghth pundartkakso vrsakarma,amōghaḥ puṇḍarīkākṣō vṛṣakarmā vṛṣākṛtiḥ,amoghīḥ puṇḍartkakṣo vṛṣakarma,website
304,rudro. bahufira. babhrur vifvayonih ucifravgh,rudrō bahuśirā babhrurviśvayōniḥ śuciśravāḥ,rudroṁ bahujiraḥ babhrur vijvayonih ucijrāvgḥ,website
305,ametah dafvara sthamur vararcho mahatapah,amṛtaḥ śāśvataḥ sthāṇurvarārōhō mahātapāḥ,ametaḥ dajvara sthāmur vararcho mahātāpaḥ,website
306,carvageh sarvavidbhanur visvakseno janardanch,sarvagaḥ sarvavidbhānurviṣvaksenō janārdanaḥ,carvageḥ sarvavidbhanur viśvakṣeno janārdancḥ,website
307,velo vedavidavyargo vedargo vedavit kavih,vedō vedavidavyaṅgō vedāṅgō vedavit kaviḥ,velo vedāvidavyargo vedargo vedavīt kaviḥ,website
308,lckadbyakssh dharmadhyaksah krtaletah,lōkādhyakṣaḥ surādhyakṣō dharmādhyakṣaḥ kṛtākṛta:,lckādbyākṣṣḥ dharmadhyakṣaḥ kṛtāletaḥ,website
309,cavuratma carurvyaheh cavurdamstrafcaturthugh,caturātmā caturvyūhaścaturdaṁṣṭraścaturbhujaḥ,cāvurātma cārurvyaheḥ cavūrdaṁstrajcatūrthugḥ,website
310,bhajiernr bhojinam thoes cahsisnurjagedadijeh,bhrājiṣṇurbhōjanaṁ bhōktā sahiṣṇurjagadādijaḥ,bhajierṇr bhojinam thoeś caḥśiṣṇurjagedadijeḥ,website
311,magho vijryo fera vigvayonth. punarvasuh,anaghō vijayō jetā viśvayōniḥ punarvasuḥ,magho vijryo jera vigvayonthī punarvaśuḥ,website
312,upendro vamanch praméur amoghsh ducirarjitah,upendrō vāmanaḥ prāṁśuramōghaḥ śucirūrjitaḥ,upendro vamancḥ praṁśur amogḥsḥ ducirarjitaḥ,website
313,iindrh semgrahch srgo dhrttma niyamo yamch,atīndraḥ saṅgrahaḥ sargō dhṛtātmā niyamō yama,iindṛḥ seṁgrahcḥ sṛgo dhṛtīma niyamo yamcḥ,website
314,velyo vaidysh sedaycg1 viraha madhavo madhuh,vedyō vaidyaḥ sadāyōgī vīrahā mādhavō madhuḥ,velyo vaidyṣḥ sedaycgī virāha mādhavo madhuḥ,website
315,indriyo mahamayo mahabalsh,atīndriyō mahāmāyō mahōtsāhō mahābalaḥ,indriyo mahāmayo mahābalṣḥ,website
316,mahesvaso mahibharta frinivssh seramgerih,maheṣvāsō mahībhartā śrīnivāsaḥ satāṁ gatiḥ,maheṣvaso mahibharta īriṇivṣṣḥ seraṁgeriḥ,website
317,miraddhah surinando rovindo govidampatih,aniruddhaḥ surānandō gōvindō gōvidāṁ patiḥ,miraddhāḥ surinando roviṇdo govidampatiḥ,website
318,mariciedamano hamsah suparo bhujagortamah,marīcirdamanō haṁsaḥ suparṇō bhujagōttamaḥ,mariciedamano haṁsaḥ suparo bhujagortamāḥ,website
319,hiragyanabhah sutapah padmanibhah prajipatih,hiraṇyanābhaḥ sutapāḥ padmanābhaḥ prajāpati:,hiragyaṇābhaḥ sutapaḥ padmanibhaḥ prajīpatiḥ,website
320,curth gururamo dhimah suya. supaparikeamah,gururgurutamō dhāmaḥ satyaḥ satyaparākramaḥ,cūrīḥ gururamo dhimaḥ sūyaṅ sūpāparikeamaḥ,website
321,shah samvartako vanhiranilo dharagidhara,ahaḥ saṁvartakō vahniranilō dharaṇīdharaḥ,shaḥ saṁvārtako vanhiraṇilo dharagīdhāra,website
322,cuprasidah prassnnitma.,suprasādaḥ prasannātmā viśvadhṛgviśvabhugvibhuḥ,cuprasīdaḥ praśṣnnītmaḥ,website
323,catharta sathytah sidhurfanhurnarayago narah,satkartā satkṛtaḥ sādhurjahnurnārāyaṇō naraḥ,catharta sathytaḥ sidhurjaṇhūrnārayago naraḥ,website
324,isaikhyeyo'prameyatma videa dstabpechucih,asaṅkhyeyō prameyātmā viśiṣṭaḥ śiṣṭakṛcchuciḥ,iṣaikhyeyo’prameyātma videa dṣṭabpechuciḥ,website
325,iddharthah siddhasathalpah siddhidah siddhissdhanah.,siddhārthaḥ siddhasaṅkalpaḥ siddhidaḥ siddhisādhanaḥ,iddhārthaḥ siddhāsathalpaḥ siddhidaḥ siddhiṣṣdhānahī,website
326,vistht vembho vispuevigaparva visodarah,vṛṣāhī vṛṣabhō viṣṇurvṛṣaparvā vṛṣōdaraḥ,viṣṭhī vembho viṣpuevigaparva viśodaraḥ,website
327,vardhano vardhamanatca viviktah érutisigacah,vardhanō vardhamānaśca viviktaḥ śrutisāgaraḥ,vardhano vardhamanatca viviktaḥ śrutiṣigacaḥ,website
328,cubhujo durdharo vigmt makendro vasudo vasuh,subhujō durdharō vāgmī mahendrō vasudō vasuḥ,cubhujo dūrdharo vigmī makendro vasudo vasuḥ,website
329,ojestejodyutidharah prakafitma pratipanah,ōjastejōdyutidharaḥ prakāśātmā pratāpanaḥ,ojeṣṭejodyutidhāraḥ prakalitma pratīpanaḥ,website
330,rdvah. spastahsaro,ṛddhaḥ spaṣṭākṣarō mantraścandrāṁśurbhāskaradyutiḥ,ṛdvāhī spaśṭaḥsaro,website
331,ribbing anddih kumodih,śubhāṅgaḥ śāntidaḥ sraṣṭā kumudaḥ kuvaleśayaḥ,ribbiṅg anddiḥ kumodiḥ,website
332,sutkepei ksemakrechivah,anivartī nivṛttātmā saṁkṣeptā kṣemakṛcchivaḥ,sutkepei kṣemakṛcchivaḥ,website
333,sige veen diel l bo,svakṣaḥ svaṅgaḥ śatānaṅdō naṅdirjyōtirgaṇeśvaraḥ,sige veen diel ī bo,website
334,mee a cae,vijitātmā vidheyātmā satkīrtiśchinnasaṁśayaḥ,mee a cae,website
335,udirnah sarvatascaksurantéah sagvatasthirah,udīrṇaḥ sarvataścakṣuranīśaḥ śāśvatasthiraḥ,udīrṇaḥ sarvataścakṣuranīśaḥ sagvatasthiraḥ,website
336,bhudayo bhusano bhatirasokah,bhūśayō bhūṣaṇō bhūtirviśōkaḥ śōkanāśanaḥ,bhūdayo bhūṣaṇo bhatirāśokaḥ,website
337,arcismanarcitah kumbho viduddhatma vidodhanah,arciṣmānarcitaḥ kuṁbhō viśuddhātmā viśōdhanaḥ,arciṣmānārcitaḥ kumbho viduddhātma vidodhanaḥ,website
338,aniruddho' pratirathah pradyumno'mitavikramah,aniruddhōpratirathaḥ pradyumnōmitavikramaḥ,aniruddho’ pratirathaḥ pradyumno’mitavikramaḥ,website
339,kamadevah kamopalah kims ksotab kytigamch,kāmadevaḥ kāmapālaḥ kāmī kāntaḥ kṛtāgamaḥ,kamadevaḥ kamopalaḥ kiṁś kṣotab kytigamcḥ,website
340,viromo dirramjyah,anirdeśyavapurviṣṇurvīrōnantō dhanañjayaḥ,viromo dirraṁjyaḥ,website
341,bromminasn f,brahmaṇyō brahmakṛdbrahmā brahma brahmavivardhanaḥ,bromminasn ī,website
342,drain d to,brahmavidbrāhmaṇō brahmī brahmajñō brāhmaṇapriyaḥ,drain d to,website
343,mahakramo mahakarma mahatera mahoragah,mahākramō mahākarmā mahātejā mahōragaḥ,mahākramo mahākarma mahatera mahoragaḥ,website
344,mahakraturmahayajva mahayajfio mahahavih,mahākraturmahāyajvā mahāyajñō mahāhaviḥ,mahākraturmahayajva mahāyajjio mahāhaviḥ,website
345,stavyah stava-priyah stotrath stutah stota rapa-priyah,stavyaḥ stavapriyaḥ stōtraṁ stutiḥ stōtā raṇapriyaḥ,stavyaḥ stava-priyaḥ stotratḥ stutaḥ stota rāpa-priyaḥ,website
346,parnah purayita punyah pugya-kirtiranamayah,pūrṇaḥ pūrayitā puṇyaḥ puṇyakīrtiranāmayaḥ,parṇaḥ purayita punyaḥ pugya-kīrtiraṇāmayaḥ,website
347,manojivastirthakaro vasurera vasupradch,manōjavastīrthakarō vasuretā vasupradaḥ,mānojivāstirthakaro vāsurera vāsupradcḥ,website
348,vasuprado vasudevo vasurvasumans havih,vasupradō vāsudevō vasurvasumanā haviḥ,vasuprado vasudevo vasurvasumans haviḥ,website
349,visvamartirmahamartir,viśvamūrtirmahāmūrtirdīptamūrtiramūrtimān,viśvamārtirmahāmartir,website
350,caturmirtth caturbahuy caturvy tha caturgeth,caturmūrtiḥ caturbāhuḥ caturvyūhaḥ caturgatiḥ,caturmirtīḥ caturbahuv caturvy īha caturgetḥ,website
351,catuibhavah caturvedah videlaoat,caturātmā caturbhāvaḥ caturvedaḥ videkapāt,catuibhavaḥ caturvedaḥ videlaoat,website
352,cahasea mardha vifvatma sahaseakpah sahascapat,sahasramūrdhā viśvātmā sahasrākṣaḥ sahasrapāt,cahasea mārdha vijvātma sahaseakpaḥ sahaścapat,website
353,mgadham jagatah seruh saryadharmaporakeamah,auṣadhaṁ jagataḥ setuḥ satyadharmaparākramaḥ,ṁgādhaṁ jagataḥ seruḥ saryādharmaporakeamaḥ,website
354,bhotabhavjabhavannathah pevanah pavano'nalah,bhūtabhavyabhavannāthaḥ pavanaḥ pāvanōnalaḥ,bhotabhāvjabhavannathaḥ pevanaḥ pavano’nalaḥ,website
355,kamahi kamakpthantal kimah kamapeadah prablhuh,kāmahā kāmakṛt kāntaḥ kāmaḥ kāmapradaḥ prabhuḥ,kāmāhi kamakpthantāl kimaḥ kamapeadaḥ prablhuḥ,website
356,idrfyo vyaktartipadca. sahasrajidanantajt,adṛśyō vyaktarūpaśca sahasrajidanantajit,idrīyo vyaktartipadcaṅ sahasrajidanāntajī,website
357,krodhahi. keidhakptharta. viévabahnrmalidharah,krōdhahā krōdhakṛtkartā viśvabāhurmahīdharaḥ,krodhahiṅ keidhakpthartaḥ viśvabahnṛmalīdharaḥ,website
358,acyutah prathitah pragah peanado vasavanujah,acyutaḥ prathitaḥ prāṇaḥ prāṇadō vāsavānujaḥ,acyutaḥ prathītaḥ pragaḥ peanado vasavanujaḥ,website
359,pan nidhiradhischanamapeamattah pratischitah,apāṁnidhiradhiṣṭhānamapramattaḥ pratiṣṭhitaḥ,pān nidhiradhiśchanamapeamattaḥ pratiśchitaḥ,website
360,chandah skandadharo dhuryo varado vayurahanah,skandaḥ skandadharō dhuryō varadō vāyuvāhanaḥ,chandāḥ skandādhāro dhūryo vārado vāyurāhaṇāḥ,website
361,visudero brhadbhinurididevah purandarah,vāsudevō bṛhadbhānurādidevaḥ purandaraḥ,viṣudero bṛhadbhinuriḍidevaḥ purandaraḥ,website
362,darah dauritjanefvarah,aśōkastāraṇastāraḥ śūraḥ śaurirjaneśvaraḥ,daraḥ dauritjanejvaraḥ,website
363,prdmanibho'ravindiksah padmagarbhah,padmanābhōravindākṣaḥ padmagarbhaḥ śarīrabhṛt,pṛdmanibho’ravindikṣaḥ padmagarbhaḥ,website
364,maharddhiripddho veddhitms. makkso grrudadhvajeh,maharddhir ṛddhō vṛddhātmā mahākṣō garuḍadhvajaḥ,mahārddhiripddho veddhitṁsī makkṣo gṛrudadhvajeḥ,website
365,darabho bhtmak samayajfio havicharih,atulaḥ śarabhō bhīmaḥ samayajñō havirhariḥ,dārabho bhīmāk samayajjio havichariḥ,website
366,carvalikpapalaksanyo laksmivan samitiffiyah,sarvalakṣaṇalakṣaṇyō lakṣmīvān samitiñjayaḥ,carvālikpapalakṣaṇyo lakṣmivan samitijjiyaḥ,website
367,vikiro rolito margo herurdimodarah sihah,vikṣarō rōhitō mārgō heturdamodarassahaḥ,vikīro rolito margo herurdimodaraḥ sihaḥ,website
368,malitdharo mahabhago vegavanamitafenah,mahīdharō mahābhāgō vegavānamitāśanaḥ,malitdhāro mahābhāgo vegavānamitajenaḥ,website
369,adbhavah ksobhano devah éigarbhah paramefvarah,"udbhavaḥ, kṣōbhaṇō devaḥ śrīgarbhaḥ parameśvaraḥ",adbhavaḥ kṣobhano devaḥ śigarbhaḥ paramejvaraḥ,website
370,karagam karagam karta vikarta grhano guhah,karaṇaṁ kāraṇaṁ kartā vikartā gahanō guhaḥ,kārāgāṁ karagaṁ karta vikārta gṛhaṇo guhāḥ,website
371,vjavasiyo vyavasthinah samsthanah sthanado dhruvah,vyavasāyō vyavasthānaḥ saṁsthānaḥ sthānadō dhruvaḥ,vjavāsiyo vyavasthinaḥ saṁsthānaḥ sthanado dhruvaḥ,website
372,paramaspastastuscah pustah fubheksinah,pararddhiḥ paramaspaṣṭastuṣṭaḥ puṣṭaḥ śubhekṣaṇaḥ,paramaspaṣṭastuścaḥ puṣṭaḥ jubhekṣiṇaḥ,website
373,amo virajo margo neyo,rāmō virāmō virajō mārgō neyō nayōnayaḥ,amo virajo margo neyo,website
374,vailunthah purusah prinah pranadah peanavah prthuh,vaikuṇṭhaḥ puruṣaḥ prāṇaḥ prāṇadaḥ praṇavaḥ pṛthuḥ,vailunthaḥ puruṣaḥ prīṇaḥ praṇadaḥ peanavaḥ pṛthuḥ,website
375,hiranysgirbhah vyspto vayuradholsajah,hiraṇyagarbhaḥ śatrughnō vyāptō vāyuradhōkṣajaḥ,hirāṇysgirbhaḥ vyspto vāyurādholṣajaḥ,website
376,tuh sudarfainah kilah paramestht parigrahah,ṛtuḥ sudarśanaḥ kālaḥ parameṣṭhī parigrahaḥ,tuḥ sudarjainaḥ kilaḥ parameṣṭhī parigrahaḥ,website
377,ugrah samvatsiro dao viimo viévadaksinah,ugraḥ saṁvatsarō dakṣō viśrāmō viśvadakṣiṇaḥ,ugraḥ saṁvatśiro dao viimo viśvadakṣiṇaḥ,website
378,anirvianah sthavistho bhordharmayapo mahimakhah,anirviṇṇaḥ sthaviṣṭhōbhūrdharmayūpō mahāmakhaḥ,anirviāṇaḥ sthaviṣṭho bhordharmāyāpo mahīmakhaḥ,website
379,nalksarranemirnaksatet kyamah ksimah samthanah,"nakṣatranemirnakṣatrī kṣamaḥ, kṣāmaḥ samīhanaḥ",nalkṣarraṇemirṇakṣatet kyamāḥ kṣimaḥ samīhanaḥ,website
380,yrjlla ijyo makefysica keatub satram setim gatlh,yajña ijyō mahejyaśca kratuḥ satraṁ satāṁ gatiḥ,yṛjīla ijyo makeīysīca keatub satraṁ setiṁ gatlḥ,website
381,carvadact vimuktatmi servaifo,sarvadarśī vimuktātmā sarvajñō jñānamuttamam,carvadacī vimuktātmi servaijo,website
382,cureatah sumukhah soksmah subkadah subst,suvrataḥ sumukhaḥ sūkṣmaḥ sughōṣaḥ sukhadaḥ suhṛt,cūreataḥ sumukhāḥ śokṣmaḥ śubkadaḥ śubst,website
383,man charo jitakrodho virabshurvidiragah,manōharō jitakrōdhō vīrabāhurvidāraṇaḥ,mañ charo jītakrodho virabshurvidīragaḥ,website
384,svapanah svavaéo vyapi naikatma naikakarmakrt,svāpanassvavaśō vyāpī naikātmā naikakarmakṛt,svāpanaḥ svavaśo vyapi naikātma naikakarmakṛt,website
385,vatsaro vatsalo vatsi ratnagarbho dhanesvarah,vatsarō vatsalō vatsī ratnagarbhō dhaneśvaraḥ,vatsaro vatsalo vatsi ratnagarbho dhaneśvaraḥ,website
386,eabhastinemih. settvasthah. simho bhotamshefvarsh,gabhastinemiḥ sattvasthaḥ siṁhō bhūtamaheśvaraḥ,eabhāṣṭinemihī settvasṭhahī siṁho bhotaṁshejvarṣḥ,website
387,sdidevo mahadevo develo devabhrdguruh.,ādidevō mahādevō deveśō devabhṛdguruḥ,sdidevo mahādevo develo devabhṛdguruhī,website
388,urtaro gopatirgopta jfianagamysh purstanch,uttarō gōpatirgōptā jñānagamyaḥ purātanaḥ,ūrtaro gopatirgopta jjiānagāmysḥ purṣṭancḥ,website
389,éartrabhatabhrdbhckea kapindro bharidaksingh,śarīrabhūtabhṛdbhōktā kapīndrō bhūridakṣiṇaḥ,śartrabhatabhṛdbhckea kapindro bharidakṣiṅgḥ,website
390,comapo'mtapsh. somah. purujitpurusartamsh,sōmapōmṛtapaḥ sōmaḥ purujit purusattamaḥ,comapo’mtāpshī somahī purujitpuruśartaṁsḥ,website
391,vinayo jaysh sstyasandho dafirhah sitvatam patih,vinayō jayaḥ satyasandhō dāśārhassātvatāṁ patiḥ,vinayo jaysḥ sṣṭyāsandho daiirhaḥ sitvataṁ patiḥ,website
392,jo msharhah svabhavyo jiramitrch pramodanch,ajō mahārhaḥ svābhāvyō jitāmitraḥ pramōdanaḥ,jo mshārhaḥ svabhāvyo jiramitṛcḥ pramodancḥ,website
393,inando nandano nandah. setyadharma trivikramah,ānandō nandanō nandaḥ satyadharmā trivikramaḥ,jñando nandano nandahī setyadharma trivikramaḥ,website
394,ripadastridadadhyakso. kreantalert,tripadastridaśādhyakṣō mahāśṛṅgaḥ kṛtāntakṛt,ripadāstridadādhyakṣoṁ kṛeantalert,website
395,mahavargho govindsh. susensh kanakanged,mahāvarāhō gōvindaḥ suṣeṇaḥ kanakāṅgadī,mahāvargho govindṣhī suṣenṣḥ kanākaṅged,website
396,hyo gabhiro gshano. guptadalragadadharch,guhyō gabhīrō gahanō guptaścakragadādharaḥ,hyo gābhiro gṣhanoñ guptadālragadadharcḥ,website
397,vedhsh. svango'jitah krsno drdhah. sanikersanccyutch,vedhāḥ svāṅgo’jitaḥ kṛṣṇo dṛḍhaḥ saṅkarṣaṇo’cyutaḥ,vedḥṣhī svāṅgo’jitaḥ kṛṣṇo dṛḍhahī sanikerṣañccyutcḥ,website
398,vartno varuno puskarkso mahamansh,varuṇo vāruṇo vṛukṣaḥ puṣkarākṣo mahāmanāḥ,vartno varuṇo puṣkarkṣo mahāmansḥ,website
399,bhagavin bhagshanand vanamalt halayudhah,bhagavān bhagahānandī vanamālī halāyudhaḥ,bhagavīn bhagshanand vanamalī halāyudhaḥ,website
400,dityo jyoiradityah eshisnurgetisattamsh,ādityō jyōtirādityaḥ sahiṣṇurgatisattamaḥ,dityo jyoirādityah eṣhiṣṇurgetiṣāttaṁsḥ,website
401,cudhanya khandaparafirdsruno dravinapradeh,sudhanvā khaṇḍaparaśurdāruṇō draviṇapradaḥ,cūdhanya khaṇḍaparajirdśruṇo draviṇāpradeḥ,website
402,sarvadrgyyaso vacaspatirayonih,divaspṛk sarvadṛgvyāsō vācaspatirayōnijaḥ,sarvādṛgyyāśo vācaspatirayoniḥ,website
